study;study_id;country;sex;n_veg;mean_veg;sd_veg;n_omni;mean_omni;sd_omni;treat;measure
Teixeira et al., (2007); 37;Brazil;M/F;67 ;22.6 ; 3.1;134 ;26.7 ; 5.1;vegetarian;bmi
Yen et al., (2008); 38;Taiwan;M/F;21 ;22.6 ; 2.5;28 ;23.2 ; 4.3;vegetarian;bmi
Fu et al., (2008); 39;Taiwan;F;35 ;22.8 ; 0.5;35 ;23.8 ; 0.6;vegetarian;bmi
Slavicek et al., (2008); 40;Czech Rep.;M/F;195 ;22.1 ; 4.8;201 ;25.1 ; 5.2;vegetarian;bmi
Chen et al., (2008); 41;Taiwan;M/F;99 ;22.9 ; 2.8;99 ;23.8 ; 3.6;vegetarian;bmi
Karabudak et al., (2008); 42;Turkey;F;26 ;21.7 ; 2.7;26 ;21.6 ; 2.6;vegetarian;bmi
Pitla et al., (2009); 43;India;M;14 ;25.0 ; 2.7;15 ;24.6 ; 2.2;vegetarian;bmi
Pitla et al., (2009); 43;India;F;12 ;25.3 ; 3.1;11 ;23.9 ; 4.0;vegetarian;bmi
Sambol et al., (2009); 44;Croatia;M/F;30 ;23.1 ; 3.0;50 ;23.3 ; 2.7;vegetarian;bmi
Lin et al., (2010); 45;Taiwan;M/F;102 ;23.4 ; 3.9;102 ;23.3 ; 3.5;vegetarian;bmi
Cade et al., (2010); 46;U.K.;F;6491 ;23.4 ; 3.9;21951 ;25.1 ; 4.5;vegetarian;bmi
Beezhold et al., (2010); 47;U.S.;M/F;60 ;25.1 ; 0.7;78 ;27.8 ; 0.9;vegetarian;bmi
Aubertin-L et al., (2011); 48;Finland;F;11 ;22.5 ; 5.5;10 ;25.8 ; 8.9;vegetarian;bmi
Yang et al., (2011); 49;China;M;171 ;23.6 ; 4.0;129 ;24.4 ; 2.7;vegetarian;bmi
Chen et al., (2011); 50;Taiwan;F;173 ;22.9 ; 2.9;190 ;23.3 ; 3.5;vegetarian;bmi
Stephens et al., (2011); 51;U.S.;M/F;19 ;22.9 ; 1.3;22 ;23.3 ; 0.7;vegetarian;bmi
Gammon et al., (2012); 52;New Zealand;M/F;34 ;23.9 ; 0.8;90 ;25.9 ; 0.7;vegetarian;bmi
Pettersen et al., (2012); 53;U.S.;M/F;184 ;25.1 ; 5.2;198 ;29.5 ; 6.6;vegetarian;bmi
Kim et al., (2012); 54;Rep. of Korea;M/F;45 ;22.1 ; 2.8;30 ;23.4 ; 2.7;vegetarian;bmi
Kim et al., (2012); 55;Rep. of Korea;F;59 ;22.7 ; 3.4;48 ;25.2 ; 3.0;vegetarian;bmi
Ingenbleek et al., (2012); 56;France;M;24 ;19.3 ; 0.8;15 ;22.1 ; 0.6;vegetarian;bmi
Huang et al., (2012); 57;China;M;103 ;23.7 ; 3.1;128 ;24.3 ; 2.7;vegetarian;bmi
Timko et al., (2012); 58;U.S.;M/F;111 ;23.8 ; 5.9;265 ;24.5 ; 5.3;vegetarian;bmi
Zhang et al., (2013); 59;China;M;170 ;23.6 ; 4.0;126 ;24.4 ; 2.7;vegetarian;bmi
Suja et al., (2013); 60;India;M/F;25 ;21.9 ; 2.4;25 ;24.5 ; 3.1;vegetarian;bmi
Farzana et al., (2013); 61;Bangladesh;M/F;66 ;20.2 ; 3.3;66 ;20.3 ; 2.9;vegetarian;bmi
Jung et al., (2013); 62;Rep. of Korea;M;148 ;25.2 ; 3.4;148 ;22.9 ; 3.1;vegetarian;bmi
Chiang et al., (2013); 63;Taiwan;F;391 ;22.9 ; 2.7;315 ;23.8 ; 3.2;vegetarian;bmi
Orlich et al., (2013); 64;U.S.;M/F;21177 ;26.1 ; 5.3;35359 ;28.3 ; 6.1;vegetarian;bmi
Chiu et al., (2014); 65;Taiwan;F;1139 ;23 ; 3;1611 ;23.5 ; 3;vegetarian;bmi
Chiu et al., (2014); 65;Taiwan;M;349 ;23 ; 3;1289 ;24 ; 3;vegetarian;bmi
Gadgil et al., (2014); 66;U.S.;M/F;91 ;25.8 ; 4.3;59 ;26.6 ; 5.1;vegetarian;bmi
Vinagre et al., (2014); 67;Brazil;M/F;18 ;23.0 ; 1.6;29 ;23.5 ; 1.2;vegetarian;bmi
Key et al., (2014); 68;U.K.;M;4624 ;23.2 ; 3.2;8474 ;24.5 ; 3.3;vegetarian;bmi
Key et al., (2014); 68;U.K.;F;13674 ;22.5 ; 3.5;24017 ;24.2 ; 4.1;vegetarian;bmi
Hardinge et al., (1954); 69;U.S.;M;15 ;243 ; 21.2;15 ;288 ; 49.0;vegetarian;cholesterol
Hardinge et al., (1954); 69;U.S.;F;15 ;269 ; 61.0;15 ;295 ; 62.8;vegetarian;cholesterol
